user_name,weight_of_waste_grams,number_of_ewaste_devices,ewaste_scrap_image_ref,material_category,price_valuation_inr,price_trend,nearby_recycler_id,reference_id,mode_of_transaction,transaction_id,anonymous_contact_number,estimated_carbon_emission_grams,recycler_name,recycler_location,authorization_status
Divya Nair,33031.5,0,placeholder://scrap-images/hard-plastics/4e15cfe2.webp,Hard Plastics,657.41,Falling,RCY-1001,REF-102177,UPI,TXN642568751141,+91 11 2507 5539,44100.8,Urban Metals,"Mayapuri Industrial Area, Delhi",Authorized
Payal Joshi,81165.6,0,placeholder://scrap-images/newspaper/da0a47b3.webp,Newspaper,1502.66,Falling,RCY-1046,REF-102178,UPI,TXN645045171566,+91 11 4412 6929,69480.0,Greenline Scrap Traders,"Dharavi, Mumbai",Authorized
Vijay Sinha,84607.1,0,placeholder://scrap-images/iron-steel/4f196e3b.webp,Iron / Steel,2585.64,Stable,RCY-1024,REF-102179,UPI,TXN705145101343,+91 11 9789 7862,139061.1,Clean Earth Recyclers,"Ankleshwar, Gujarat",Authorized
Payal Kapoor,60130.0,0,placeholder://scrap-images/copper/7065d48d.webp,Copper,43325.88,Stable,RCY-1035,REF-102180,Cash,CASH-B03A9E37B4,+91 11 4746 6786,158940.1,Shakti Enterprises,"Guindy, Chennai",Authorized
Rekha Kumar,56883.3,0,placeholder://scrap-images/pet-bottles/2672e101.webp,PET Bottles,901.67,Falling,RCY-1025,REF-102181,Cash,CASH-D8B626F8D4,+91 11 9480 6131,59015.5,Shakti Waste Management,"Ankleshwar, Gujarat",Pending Verification
Deepak Mehta,12931.0,8,placeholder://scrap-images/e-waste-pcb/54dcf549.webp,E-Waste PCB,1931.2,Rising,RCY-1032,REF-102182,Cash,CASH-B7AED5C30F,+91 11 5763 4992,46598.9,National Recycling Hub,"Bhiwandi, Maharashtra",Authorized
Sunita Reddy,14954.4,6,placeholder://scrap-images/lead-acid-battery/d38ab318.webp,Lead-Acid Battery,1458.72,Rising,RCY-1016,REF-102183,UPI,TXN575576575562,+91 11 6524 9774,18697.3,Greenline Enterprises,"Narela, New Delhi",Authorized
Deepak Saxena,11482.9,5,placeholder://scrap-images/e-waste-pcb/d61ad278.webp,E-Waste PCB,1672.59,Rising,RCY-1002,REF-102184,UPI,TXN394342748851,+91 11 7568 8593,50474.5,Green India Recycling Hub,"Bhiwandi, Maharashtra",Authorized
Sanjay Sinha,909.4,4,placeholder://scrap-images/e-waste-pcb/281ceccc.webp,E-Waste PCB,131.62,Falling,RCY-1048,REF-102185,UPI,TXN864700365927,+91 11 8658 8320,3825.4,Metro Recycling Hub,"Dharavi, Mumbai",Pending Verification
Kiran Sinha,81675.2,0,placeholder://scrap-images/hard-plastics/a29962cd.webp,Hard Plastics,1723.55,Stable,RCY-1050,REF-102186,Cash,CASH-81EC243EDB,+91 11 1078 4959,101286.0,Bharat Enterprises,"Mayapuri Industrial Area, Delhi",Authorized
Geeta Sharma,1092.0,3,placeholder://scrap-images/e-waste-pcb/f538c7e6.webp,E-Waste PCB,159.48,Falling,RCY-1002,REF-102187,UPI,TXN867463959439,+91 11 1079 5913,4027.2,Green India Recycling Hub,"Bhiwandi, Maharashtra",Authorized
Sanjay Mehta,14397.4,2,placeholder://scrap-images/small-battery/1ce20e05.webp,Small Battery,698.18,Rising,RCY-1008,REF-102188,Cash,CASH-FF6F184BA5,+91 11 5338 4809,23257.8,EcoWave Industries,"Dharavi, Mumbai",Pending Verification
Pooja Chauhan,56029.4,0,placeholder://scrap-images/hard-plastics/28fb8328.webp,Hard Plastics,1180.19,Stable,RCY-1046,REF-102189,Cash,CASH-86966FAAD3,+91 11 2647 2829,66700.4,Greenline Scrap Traders,"Dharavi, Mumbai",Authorized
Kiran Iyer,52061.3,0,placeholder://scrap-images/newspaper/0314690c.webp,Newspaper,903.33,Falling,RCY-1011,REF-102190,Cash,CASH-AAFA4C358B,+91 11 5328 3441,45928.4,Sunrise Enterprises,"Narela, New Delhi",Authorized
Vijay Joshi,11494.3,5,placeholder://scrap-images/e-waste-pcb/bcf30dfc.webp,E-Waste PCB,1676.62,Stable,RCY-1033,REF-102191,UPI,TXN680780271572,+91 11 4152 6735,41450.6,Urban Recycling Hub,"Okhla Phase 2, New Delhi",Pending Verification
Ashok Singh,85933.1,0,placeholder://scrap-images/newspaper/46320f60.webp,Newspaper,1487.29,Falling,RCY-1051,REF-102192,UPI,TXN791098278688,+91 11 2324 4803,84714.9,Sunrise Recycling Hub,"Narela, New Delhi",Authorized
Sandeep Yadav,7228.1,5,placeholder://scrap-images/lead-acid-battery/128e390a.webp,Lead-Acid Battery,669.53,Rising,RCY-1014,REF-102193,UPI,TXN137359934641,+91 11 7846 3223,9117.5,Sunrise Eco Solutions,"Okhla Phase 2, New Delhi",Authorized
Shalini Iyer,6323.6,4,placeholder://scrap-images/lead-acid-battery/2c073d6b.webp,Lead-Acid Battery,576.47,Rising,RCY-1053,REF-102194,UPI,TXN830517539619,+91 11 6201 8792,6974.4,EcoWave Metals,"Ankleshwar, Gujarat",Authorized
Deepak Sharma,11451.6,5,placeholder://scrap-images/small-battery/901a1e10.webp,Small Battery,607.66,Rising,RCY-1032,REF-102195,UPI,TXN658854823600,+91 11 8242 7426,16917.4,National Recycling Hub,"Bhiwandi, Maharashtra",Authorized
Swati Saxena,6444.9,4,placeholder://scrap-images/e-waste-pcb/e5ab45fd.webp,E-Waste PCB,902.36,Stable,RCY-1050,REF-102196,Cash,CASH-713B6E7317,+91 11 6505 2208,24441.6,Bharat Enterprises,"Mayapuri Industrial Area, Delhi",Authorized
Rahul Sinha,84721.7,0,placeholder://scrap-images/hard-plastics/b32f4e4b.webp,Hard Plastics,1643.13,Rising,RCY-1039,REF-102197,Cash,CASH-DB40C58E2C,+91 11 9844 3340,106392.0,Bharat Metals,"Ankleshwar, Gujarat",Pending Verification
Sunita Joshi,39943.8,0,placeholder://scrap-images/pet-bottles/e8d42674.webp,PET Bottles,616.1,Rising,RCY-1048,REF-102198,UPI,TXN352465241268,+91 11 9700 9693,41066.8,Metro Recycling Hub,"Dharavi, Mumbai",Pending Verification
Shalini Verma,76593.7,0,placeholder://scrap-images/newspaper/cb254029.webp,Newspaper,1288.34,Stable,RCY-1009,REF-102199,UPI,TXN369792279779,+91 11 7565 5878,64140.0,Metro Waste Management,"Jamshedpur, Jharkhand",Authorized
Meena Pandey,8361.7,4,placeholder://scrap-images/small-battery/c81db5c8.webp,Small Battery,391.8,Rising,RCY-1049,REF-102200,UPI,TXN612727168786,+91 11 4027 2047,12470.8,EcoWave Scrap Traders,"Mayapuri Industrial Area, Delhi",Authorized
Rekha Iyer,26706.0,0,placeholder://scrap-images/newspaper/40f0fd1c.webp,Newspaper,444.12,Stable,RCY-1057,REF-102201,UPI,TXN881043408523,+91 11 4327 5901,22875.7,Greenline Eco Solutions,"Jamshedpur, Jharkhand",Authorized
Meena Tiwari,20639.6,0,placeholder://scrap-images/newspaper/84a8afaa.webp,Newspaper,389.08,Falling,RCY-1054,REF-102202,UPI,TXN744164874513,+91 11 8926 8924,19265.5,National Scrap Traders,"Okhla Phase 2, New Delhi",Authorized
Karan Mishra,4912.3,7,placeholder://scrap-images/lead-acid-battery/d624d5cb.webp,Lead-Acid Battery,440.32,Stable,RCY-1059,REF-102203,UPI,TXN525745105982,+91 11 6566 2052,6423.8,Sunrise Metals,"Peenya, Bengaluru",Authorized
Suresh Chopra,7712.1,7,placeholder://scrap-images/small-battery/e78a97db.webp,Small Battery,363.47,Stable,RCY-1046,REF-102204,UPI,TXN998629942902,+91 11 3549 3567,12131.8,Greenline Scrap Traders,"Dharavi, Mumbai",Authorized
Vijay Kumar,36037.8,0,placeholder://scrap-images/copper/4cc00605.webp,Copper,26073.65,Stable,RCY-1043,REF-102205,UPI,TXN631622522272,+91 11 2866 1440,89061.2,Urban Waste Management,"Ludhiana, Punjab",Authorized
Priya Rawat,44115.5,0,placeholder://scrap-images/hard-plastics/3802228c.webp,Hard Plastics,874.13,Stable,RCY-1047,REF-102206,UPI,TXN189030358486,+91 11 7113 4219,61369.7,EcoWave Recycling Hub,"Ludhiana, Punjab",Pending Verification
Kiran Bose,28942.7,0,placeholder://scrap-images/iron-steel/c2f83e6a.webp,Iron / Steel,853.61,Falling,RCY-1049,REF-102207,UPI,TXN987951852091,+91 11 9531 4998,46948.4,EcoWave Scrap Traders,"Mayapuri Industrial Area, Delhi",Authorized
Rekha Agarwal,13322.8,5,placeholder://scrap-images/e-waste-pcb/55bc12b8.webp,E-Waste PCB,2042.53,Falling,RCY-1020,REF-102208,UPI,TXN935167510752,+91 11 7497 1773,49775.1,Greenline Metals,"Ludhiana, Punjab",Pending Verification
Swati Kapoor,4192.2,4,placeholder://scrap-images/e-waste-pcb/7d443cd3.webp,E-Waste PCB,606.01,Stable,RCY-1022,REF-102209,UPI,TXN688706045104,+91 11 3395 4933,16632.1,Sunrise Waste Management,"Guindy, Chennai",Authorized
Rekha Rawat,813.1,4,placeholder://scrap-images/lead-acid-battery/f6d2e490.webp,Lead-Acid Battery,81.32,Stable,RCY-1004,REF-102210,UPI,TXN446820080438,+91 11 2640 4992,965.3,New Delhi Enterprises,"Okhla Phase 2, New Delhi",Authorized
Kavita Verma,5588.9,7,placeholder://scrap-images/small-battery/d0a93236.webp,Small Battery,299.44,Rising,RCY-1015,REF-102211,UPI,TXN287032532429,+91 11 6925 4867,7599.3,Green India Waste Management,"Mayapuri Industrial Area, Delhi",Authorized
Naveen Thakur,61820.1,0,placeholder://scrap-images/copper/b80e4b33.webp,Copper,39191.2,Stable,RCY-1007,REF-102212,Cash,CASH-544BA78143,+91 11 7735 4641,151049.2,National Recyclers,"Jamshedpur, Jharkhand",Authorized
Payal Bose,3677.8,2,placeholder://scrap-images/e-waste-pcb/e32447a7.webp,E-Waste PCB,564.78,Stable,RCY-1047,REF-102213,UPI,TXN611155355225,+91 11 9360 6017,16153.9,EcoWave Recycling Hub,"Ludhiana, Punjab",Pending Verification
Raju Das,43651.8,0,placeholder://scrap-images/pet-bottles/d111c1eb.webp,PET Bottles,607.23,Rising,RCY-1016,REF-102214,UPI,TXN955126799553,+91 11 1825 8764,44458.0,Greenline Enterprises,"Narela, New Delhi",Authorized
Kavita Mishra,6590.5,5,placeholder://scrap-images/lead-acid-battery/1a912c98.webp,Lead-Acid Battery,632.17,Falling,RCY-1041,REF-102215,UPI,TXN769318898164,+91 11 6253 2707,7161.4,Sunrise Industries,"Kanpur, Uttar Pradesh",Authorized
Shalini Rawat,1074.6,0,placeholder://scrap-images/hard-plastics/5b507d11.webp,Hard Plastics,21.05,Falling,RCY-1037,REF-102216,Cash,CASH-938602253C,+91 11 5338 5979,1503.8,Green India Industries,"Mayapuri Industrial Area, Delhi",Authorized
Swati Bose,38118.3,0,placeholder://scrap-images/newspaper/265917ed.webp,Newspaper,683.12,Stable,RCY-1024,REF-102217,Cash,CASH-75B56261E7,+91 11 4048 8430,33236.9,Clean Earth Recyclers,"Ankleshwar, Gujarat",Authorized
Rekha Chopra,3659.5,8,placeholder://scrap-images/lead-acid-battery/89819abb.webp,Lead-Acid Battery,360.69,Falling,RCY-1043,REF-102218,UPI,TXN926417307730,+91 11 3316 7973,4556.6,Urban Waste Management,"Ludhiana, Punjab",Authorized
Amit Reddy,36370.9,0,placeholder://scrap-images/newspaper/12098b04.webp,Newspaper,616.39,Stable,RCY-1059,REF-102219,Cash,CASH-EA04507FE9,+91 11 9911 4584,34888.9,Sunrise Metals,"Peenya, Bengaluru",Authorized
Neha Tiwari,44750.5,0,placeholder://scrap-images/newspaper/96686b22.webp,Newspaper,800.19,Rising,RCY-1033,REF-102220,UPI,TXN151508481890,+91 11 3717 3290,43063.1,Urban Recycling Hub,"Okhla Phase 2, New Delhi",Pending Verification
Raju Joshi,60215.9,0,placeholder://scrap-images/iron-steel/0c9f350b.webp,Iron / Steel,2069.17,Stable,RCY-1056,REF-102221,UPI,TXN565979208639,+91 11 4355 4578,114620.1,New Delhi Scrap Traders,"Guindy, Chennai",Authorized
Sanjay Singh,1213.5,8,placeholder://scrap-images/lead-acid-battery/ec37b8ff.webp,Lead-Acid Battery,113.73,Rising,RCY-1040,REF-102222,UPI,TXN303472328733,+91 11 5841 9378,1397.4,EcoCircle Enterprises,"Okhla Phase 2, New Delhi",Authorized
Ramesh Kapoor,89136.3,0,placeholder://scrap-images/pet-bottles/2c9cfb79.webp,PET Bottles,1387.77,Rising,RCY-1016,REF-102223,UPI,TXN378493062169,+91 11 7361 6131,106346.6,Greenline Enterprises,"Narela, New Delhi",Authorized
Simran Kapoor,53587.4,0,placeholder://scrap-images/pet-bottles/660236a1.webp,PET Bottles,855.56,Falling,RCY-1035,REF-102224,UPI,TXN357531784673,+91 11 1048 1463,55603.3,Shakti Enterprises,"Guindy, Chennai",Authorized
Jyoti Kumar,44034.7,0,placeholder://scrap-images/copper/2435efe2.webp,Copper,30438.75,Stable,RCY-1014,REF-102225,UPI,TXN937856885442,+91 11 6644 3967,107919.5,Sunrise Eco Solutions,"Okhla Phase 2, New Delhi",Authorized
Seema Singh,9970.6,3,placeholder://scrap-images/lead-acid-battery/70b9dd62.webp,Lead-Acid Battery,944.56,Rising,RCY-1014,REF-102226,UPI,TXN152674434210,+91 11 7178 3378,11557.5,Sunrise Eco Solutions,"Okhla Phase 2, New Delhi",Authorized
Manish Chopra,8216.8,3,placeholder://scrap-images/lead-acid-battery/eb07e054.webp,Lead-Acid Battery,734.17,Rising,RCY-1033,REF-102227,UPI,TXN688786351147,+91 11 2871 8312,9820.4,Urban Recycling Hub,"Okhla Phase 2, New Delhi",Pending Verification
Rohit Chopra,58854.3,0,placeholder://scrap-images/pet-bottles/a79bc66b.webp,PET Bottles,931.97,Stable,RCY-1033,REF-102228,UPI,TXN674353860013,+91 11 5129 8816,67033.4,Urban Recycling Hub,"Okhla Phase 2, New Delhi",Pending Verification
Geeta Iyer,56373.3,0,placeholder://scrap-images/hard-plastics/f75782ba.webp,Hard Plastics,1047.53,Rising,RCY-1006,REF-102229,UPI,TXN405416751567,+91 11 9950 7704,78682.7,National Metals,"Mayapuri Industrial Area, Delhi",Authorized
Nisha Mishra,46752.1,0,placeholder://scrap-images/newspaper/79b2a2d5.webp,Newspaper,787.0,Stable,RCY-1057,REF-102230,Cash,CASH-5674FF4597,+91 11 8088 2261,43447.8,Greenline Eco Solutions,"Jamshedpur, Jharkhand",Authorized
Kavita Saxena,36871.2,0,placeholder://scrap-images/newspaper/21772c49.webp,Newspaper,636.42,Falling,RCY-1006,REF-102231,UPI,TXN503534013332,+91 11 6773 8350,31193.8,National Metals,"Mayapuri Industrial Area, Delhi",Authorized
Manish Pandey,9750.3,0,placeholder://scrap-images/pet-bottles/c1b25476.webp,PET Bottles,148.52,Stable,RCY-1058,REF-102232,UPI,TXN194794354580,+91 11 4461 9610,10120.2,Green India Enterprises,"Sanathnagar, Hyderabad",Authorized
Manoj Rana,5970.7,3,placeholder://scrap-images/e-waste-pcb/abe22b37.webp,E-Waste PCB,923.93,Rising,RCY-1052,REF-102233,UPI,TXN568481545338,+91 11 9089 6702,22484.1,Sunrise Scrap Traders,"Ankleshwar, Gujarat",Authorized
Sandeep Bhatt,1856.6,4,placeholder://scrap-images/small-battery/db19c238.webp,Small Battery,97.32,Stable,RCY-1007,REF-102234,Cash,CASH-DF0C0F2107,+91 11 4966 2259,2741.2,National Recyclers,"Jamshedpur, Jharkhand",Authorized
Sneha Yadav,24464.6,0,placeholder://scrap-images/newspaper/8878f4af.webp,Newspaper,407.71,Falling,RCY-1038,REF-102235,Cash,CASH-FBFC5F41B0,+91 11 4975 8802,21183.5,EcoCircle Eco Solutions,"Sanathnagar, Hyderabad",Authorized
Pooja Bose,67601.3,0,placeholder://scrap-images/newspaper/bc7313f7.webp,Newspaper,1191.82,Falling,RCY-1021,REF-102236,UPI,TXN848331135807,+91 11 9981 3026,60884.0,Bharat Recycling Hub,"Kanpur, Uttar Pradesh",Pending Verification
Karan Rana,89927.6,0,placeholder://scrap-images/iron-steel/176b7591.webp,Iron / Steel,2747.76,Stable,RCY-1020,REF-102237,Cash,CASH-E1A61239C2,+91 11 6603 2734,150393.1,Greenline Metals,"Ludhiana, Punjab",Pending Verification
Naveen Goel,6741.7,0,placeholder://scrap-images/iron-steel/12b8515d.webp,Iron / Steel,219.19,Falling,RCY-1056,REF-102238,Cash,CASH-F7B70344C4,+91 11 5162 9086,11704.7,New Delhi Scrap Traders,"Guindy, Chennai",Authorized
Anita Chauhan,13583.4,2,placeholder://scrap-images/small-battery/0446d247.webp,Small Battery,713.82,Falling,RCY-1025,REF-102239,Cash,CASH-01D639FB64,+91 11 2990 9880,21217.3,Shakti Waste Management,"Ankleshwar, Gujarat",Pending Verification
Rina Verma,32541.7,0,placeholder://scrap-images/iron-steel/deb3d9c2.webp,Iron / Steel,974.3,Rising,RCY-1016,REF-102240,UPI,TXN444000320416,+91 11 7383 4565,61768.1,Greenline Enterprises,"Narela, New Delhi",Authorized
Manish Tiwari,1276.6,0,placeholder://scrap-images/copper/093f95db.webp,Copper,905.84,Rising,RCY-1042,REF-102241,Cash,CASH-E5126E48C5,+91 11 1755 8022,3127.6,Shakti Eco Solutions,"Okhla Phase 2, New Delhi",Authorized
Manish Singh,32931.4,0,placeholder://scrap-images/iron-steel/c42cf902.webp,Iron / Steel,1102.41,Stable,RCY-1017,REF-102242,Cash,CASH-885E8D1A77,+91 11 1526 3880,54956.6,Bharat Recyclers,"Guindy, Chennai",Pending Verification
Ajay Gupta,43769.2,0,placeholder://scrap-images/hard-plastics/39410416.webp,Hard Plastics,914.1,Rising,RCY-1048,REF-102243,Cash,CASH-732A28CD0F,+91 11 7857 7561,58616.6,Metro Recycling Hub,"Dharavi, Mumbai",Pending Verification
Gaurav Chauhan,13178.6,4,placeholder://scrap-images/lead-acid-battery/0b034a05.webp,Lead-Acid Battery,1344.71,Stable,RCY-1028,REF-102244,UPI,TXN249002768880,+91 11 2982 8845,17188.0,Bharat Scrap Traders,"Sanathnagar, Hyderabad",Pending Verification
Vinod Chauhan,87728.6,0,placeholder://scrap-images/iron-steel/572be0b6.webp,Iron / Steel,2900.0,Rising,RCY-1010,REF-102245,UPI,TXN400411901691,+91 11 2541 9605,146308.3,Clean Earth Eco Solutions,"Mayapuri Industrial Area, Delhi",Pending Verification
Rohit Rawat,6265.2,4,placeholder://scrap-images/e-waste-pcb/01a8c88d.webp,E-Waste PCB,892.39,Rising,RCY-1057,REF-102246,UPI,TXN700829675565,+91 11 2636 6079,24121.9,Greenline Eco Solutions,"Jamshedpur, Jharkhand",Authorized
Karan Iyer,4553.5,5,placeholder://scrap-images/small-battery/f47b5cc1.webp,Small Battery,215.12,Falling,RCY-1044,REF-102247,UPI,TXN506965063624,+91 11 1119 6040,6189.3,Shakti Metals,"Kanpur, Uttar Pradesh",Pending Verification
Raju Bhatt,63288.9,0,placeholder://scrap-images/newspaper/63c62496.webp,Newspaper,1219.03,Rising,RCY-1027,REF-102248,UPI,TXN473575717349,+91 11 7824 5488,59646.7,New Delhi Metals,"Mayapuri Industrial Area, Delhi",Pending Verification
Divya Thakur,9723.0,0,placeholder://scrap-images/iron-steel/17d93fc5.webp,Iron / Steel,310.89,Rising,RCY-1045,REF-102249,UPI,TXN611927977077,+91 11 1637 6241,17638.4,Metro Eco Solutions,"Okhla Phase 2, New Delhi",Authorized
Vikram Tiwari,4606.2,6,placeholder://scrap-images/small-battery/956953d3.webp,Small Battery,248.37,Stable,RCY-1032,REF-102250,Cash,CASH-2F9DFEA38F,+91 11 3934 7316,7080.1,National Recycling Hub,"Bhiwandi, Maharashtra",Authorized
Rekha Bose,553.3,4,placeholder://scrap-images/lead-acid-battery/e85041c3.webp,Lead-Acid Battery,51.04,Rising,RCY-1047,REF-102251,UPI,TXN293230907546,+91 11 1577 3859,633.0,EcoWave Recycling Hub,"Ludhiana, Punjab",Pending Verification
Sanjay Kapoor,64145.7,0,placeholder://scrap-images/pet-bottles/45ee8ac0.webp,PET Bottles,951.84,Stable,RCY-1038,REF-102252,UPI,TXN723491301125,+91 11 6684 4829,77601.9,EcoCircle Eco Solutions,"Sanathnagar, Hyderabad",Authorized
Kavya Rana,2262.3,5,placeholder://scrap-images/lead-acid-battery/8d33e2bc.webp,Lead-Acid Battery,219.3,Falling,RCY-1034,REF-102253,Cash,CASH-9D959CE4F7,+91 11 4143 1266,2647.0,EcoWave Eco Solutions,"Sanathnagar, Hyderabad",Authorized
Jyoti Mishra,70618.0,0,placeholder://scrap-images/copper/ebca2347.webp,Copper,46526.19,Rising,RCY-1009,REF-102254,UPI,TXN565482313685,+91 11 3911 9394,181167.9,Metro Waste Management,"Jamshedpur, Jharkhand",Authorized
Shalini Singh,37205.0,0,placeholder://scrap-images/iron-steel/7ab9a951.webp,Iron / Steel,1133.71,Stable,RCY-1038,REF-102255,UPI,TXN380195634721,+91 11 4419 8743,67201.9,EcoCircle Eco Solutions,"Sanathnagar, Hyderabad",Authorized
Rohit Chauhan,39538.1,0,placeholder://scrap-images/pet-bottles/a409bc5e.webp,PET Bottles,603.73,Falling,RCY-1049,REF-102256,Cash,CASH-1CF7A15FA8,+91 11 5718 3879,43559.2,EcoWave Scrap Traders,"Mayapuri Industrial Area, Delhi",Authorized
Ankit Bansal,5848.2,3,placeholder://scrap-images/small-battery/a733a32f.webp,Small Battery,294.96,Rising,RCY-1013,REF-102257,UPI,TXN125051959472,+91 11 6691 3672,8684.2,Clean Earth Scrap Traders,"Narela, New Delhi",Authorized
Ashok Mishra,54985.7,0,placeholder://scrap-images/newspaper/2cdc42cd.webp,Newspaper,1049.78,Falling,RCY-1055,REF-102258,UPI,TXN570596638408,+91 11 7913 5642,52887.2,New Delhi Eco Solutions,"Peenya, Bengaluru",Authorized
Raju Verma,54284.1,0,placeholder://scrap-images/newspaper/e9631bae.webp,Newspaper,1030.19,Stable,RCY-1016,REF-102259,UPI,TXN704742423729,+91 11 9569 4299,47176.4,Greenline Enterprises,"Narela, New Delhi",Authorized
Preeti Iyer,25020.2,0,placeholder://scrap-images/newspaper/6ccc5190.webp,Newspaper,454.0,Falling,RCY-1017,REF-102260,Cash,CASH-A29A2B13C8,+91 11 7585 7181,21222.3,Bharat Recyclers,"Guindy, Chennai",Pending Verification
Seema Verma,40772.7,0,placeholder://scrap-images/pet-bottles/861fc72f.webp,PET Bottles,615.4,Stable,RCY-1026,REF-102261,UPI,TXN870764420286,+91 11 1364 8098,44464.1,EcoCircle Recycling Hub,"Dharavi, Mumbai",Authorized
Suresh Patel,12717.2,8,placeholder://scrap-images/lead-acid-battery/22821059.webp,Lead-Acid Battery,1287.04,Rising,RCY-1013,REF-102262,Cash,CASH-A04258F9E2,+91 11 5271 8340,16674.9,Clean Earth Scrap Traders,"Narela, New Delhi",Authorized
Amit Tiwari,43498.9,0,placeholder://scrap-images/pet-bottles/65c3f35d.webp,PET Bottles,637.71,Stable,RCY-1041,REF-102263,UPI,TXN901195309219,+91 11 9276 7920,46181.7,Sunrise Industries,"Kanpur, Uttar Pradesh",Authorized
Ashok Sharma,5857.7,5,placeholder://scrap-images/lead-acid-battery/e12f86e8.webp,Lead-Acid Battery,535.18,Falling,RCY-1013,REF-102264,UPI,TXN507873935671,+91 11 8126 9472,7286.6,Clean Earth Scrap Traders,"Narela, New Delhi",Authorized
Geeta Joshi,29516.4,0,placeholder://scrap-images/iron-steel/0e28ad38.webp,Iron / Steel,1006.38,Stable,RCY-1026,REF-102265,Cash,CASH-5957BF6785,+91 11 4757 8937,56121.1,EcoCircle Recycling Hub,"Dharavi, Mumbai",Authorized
Geeta Rana,2165.4,5,placeholder://scrap-images/e-waste-pcb/52b5469a.webp,E-Waste PCB,345.66,Stable,RCY-1030,REF-102266,Cash,CASH-2A0EE542B3,+91 11 9799 3749,8548.4,Bharat Eco Solutions,"Guindy, Chennai",Pending Verification
Swati Saxena,11631.3,0,placeholder://scrap-images/hard-plastics/2ddaa3e8.webp,Hard Plastics,249.71,Falling,RCY-1055,REF-102267,UPI,TXN689444393179,+91 11 6303 9036,14607.9,New Delhi Eco Solutions,"Peenya, Bengaluru",Authorized
Yogesh Chauhan,11370.2,5,placeholder://scrap-images/small-battery/6a4cc420.webp,Small Battery,569.8,Stable,RCY-1048,REF-102268,Cash,CASH-E887AB9BA7,+91 11 9475 5710,17496.0,Metro Recycling Hub,"Dharavi, Mumbai",Pending Verification
Rina Gupta,5050.6,8,placeholder://scrap-images/e-waste-pcb/03106424.webp,E-Waste PCB,731.88,Stable,RCY-1032,REF-102269,UPI,TXN890355352038,+91 11 2385 1356,22001.2,National Recycling Hub,"Bhiwandi, Maharashtra",Authorized
Pooja Sinha,6673.2,7,placeholder://scrap-images/small-battery/ad3249cc.webp,Small Battery,339.06,Rising,RCY-1041,REF-102270,UPI,TXN425382822596,+91 11 9252 7043,10623.4,Sunrise Industries,"Kanpur, Uttar Pradesh",Authorized
Jyoti Iyer,41640.1,0,placeholder://scrap-images/hard-plastics/11b4c276.webp,Hard Plastics,836.02,Falling,RCY-1013,REF-102271,UPI,TXN260696003361,+91 11 1845 4183,49247.0,Clean Earth Scrap Traders,"Narela, New Delhi",Authorized
Suresh Kapoor,23208.8,0,placeholder://scrap-images/copper/155d02b3.webp,Copper,16236.51,Rising,RCY-1025,REF-102272,UPI,TXN514884174508,+91 11 5007 4811,59126.0,Shakti Waste Management,"Ankleshwar, Gujarat",Pending Verification
Sanjay Thakur,10162.8,3,placeholder://scrap-images/lead-acid-battery/47a9e7f7.webp,Lead-Acid Battery,918.53,Rising,RCY-1005,REF-102273,UPI,TXN919661060001,+91 11 1783 8348,12633.5,Shakti Industries,"Narela, New Delhi",Authorized
Karan Kapoor,13305.7,5,placeholder://scrap-images/lead-acid-battery/0f29f634.webp,Lead-Acid Battery,1219.54,Rising,RCY-1027,REF-102274,UPI,TXN525785469266,+91 11 5014 7429,15844.1,New Delhi Metals,"Mayapuri Industrial Area, Delhi",Pending Verification
Rina Bansal,62847.5,0,placeholder://scrap-images/newspaper/218dd1e2.webp,Newspaper,1132.96,Falling,RCY-1056,REF-102275,UPI,TXN644660768602,+91 11 5341 9123,57176.7,New Delhi Scrap Traders,"Guindy, Chennai",Authorized
Karan Saxena,55388.2,0,placeholder://scrap-images/newspaper/588611e4.webp,Newspaper,1026.36,Stable,RCY-1053,REF-102276,UPI,TXN251759586860,+91 11 6802 4117,54245.6,EcoWave Metals,"Ankleshwar, Gujarat",Authorized
Rohit Sharma,70955.4,0,placeholder://scrap-images/hard-plastics/71a811fe.webp,Hard Plastics,1504.98,Falling,RCY-1050,REF-102277,UPI,TXN612773110628,+91 11 7879 8787,100770.8,Bharat Enterprises,"Mayapuri Industrial Area, Delhi",Authorized
Divya Gupta,78554.7,0,placeholder://scrap-images/iron-steel/47c311f1.webp,Iron / Steel,2321.71,Falling,RCY-1022,REF-102278,UPI,TXN587894424173,+91 11 6746 4272,139171.4,Sunrise Waste Management,"Guindy, Chennai",Authorized
Jyoti Verma,4858.8,8,placeholder://scrap-images/lead-acid-battery/18796bf6.webp,Lead-Acid Battery,481.27,Stable,RCY-1039,REF-102279,UPI,TXN137747464094,+91 11 1762 5550,5490.0,Bharat Metals,"Ankleshwar, Gujarat",Pending Verification
Preeti Rana,33847.8,0,placeholder://scrap-images/pet-bottles/942c80e7.webp,PET Bottles,496.11,Stable,RCY-1018,REF-102280,Cash,CASH-16C977A11B,+91 11 6626 5000,35312.6,Greenline Waste Management,"Ankleshwar, Gujarat",Authorized
Sunita Agarwal,59095.1,0,placeholder://scrap-images/newspaper/5947a8d6.webp,Newspaper,1050.55,Stable,RCY-1058,REF-102281,UPI,TXN244640900620,+91 11 7743 8042,58013.0,Green India Enterprises,"Sanathnagar, Hyderabad",Authorized
